epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28893,2.76011,4.57622,3.81756,1.82101,0,0.0039,0.26978,0.02426,0.00906,0.00234,0.13642,0.01726,0.00291,2.44275,4.15564,4.04309,1.70623,0,0.000275,0.000275,0.000275
2,13.8301,2.47087,3.65316,2.61476,1.47147,0,0.64558,0.10112,0.12385,0.03931,0.63043,0.08565,0.08724,0.02336,2.28294,3.69922,3.31744,1.60879,0,0.000559716,0.000559716,0.000559716
3,19.8114,2.41915,3.51247,2.23902,1.44754,0,0.08301,0.35869,0.1343,0.03775,0.34037,0.3198,0.11655,0.03105,2.28684,3.65186,3.4929,1.6969,0,0.000841585,0.000841585,0.000841585
4,25.7641,2.3938,3.47887,2.09264,1.41759,0,0.16761,0.27504,0.16642,0.05633,0.83277,0.10207,0.15505,0.05107,2.32651,3.78082,3.77878,1.55009,0,0.00112061,0.00112061,0.00112061
5,31.8101,2.38892,3.44256,2.10111,1.42455,0,0.27243,0.24452,0.20697,0.07171,0.23276,0.19095,0.16421,0.05103,2.45482,3.86488,2.53334,1.58217,0,0.00122525,0.00122525,0.00122525
6,38.0326,2.30536,3.38058,1.95432,1.38616,0,0.28611,0.29386,0.23054,0.08437,0.23643,0.21342,0.19132,0.06413,2.36834,3.85127,2.5453,1.5833,0,0.00121906,0.00121906,0.00121906
7,43.9922,2.32969,3.30699,1.87061,1.37268,0,0.24763,0.34155,0.23048,0.09192,0.21704,0.26108,0.188,0.0698,2.3402,3.6106,2.41689,1.54248,0,0.00121287,0.00121287,0.00121287
8,49.8087,2.31962,3.37853,1.88432,1.34545,0,0.29611,0.32016,0.29542,0.11603,0.26603,0.25694,0.25926,0.08557,2.28893,3.61527,2.44506,1.54306,0,0.00120669,0.00120669,0.00120669
9,55.7197,2.29487,3.30186,1.89906,1.34371,0,0.30431,0.37242,0.2794,0.11057,0.28024,0.28216,0.24481,0.08471,2.26085,3.32284,2.26064,1.52688,0,0.0012005,0.0012005,0.0012005
10,61.5738,2.28652,3.25055,1.85399,1.35215,0,0.35542,0.46017,0.34224,0.12955,0.30722,0.37942,0.30307,0.09491,2.11272,3.15834,2.1372,1.48637,0,0.00119431,0.00119431,0.00119431
11,67.4795,2.24056,3.22394,1.78435,1.35301,0,0.32497,0.38332,0.29886,0.10776,0.29192,0.31728,0.27059,0.07976,2.15394,3.32569,2.20403,1.51633,0,0.00118812,0.00118812,0.00118812
12,73.3656,2.27641,3.2462,1.77935,1.33939,0,0.40501,0.36711,0.32787,0.13066,0.38241,0.32709,0.31092,0.11053,2.12666,3.25028,2.11169,1.51274,0,0.00118194,0.00118194,0.00118194
13,79.0434,2.20969,3.17717,1.75135,1.31744,0,0.36117,0.28374,0.24309,0.09719,0.31359,0.2416,0.20127,0.07165,2.23411,3.45868,2.70113,1.5333,0,0.00117575,0.00117575,0.00117575
14,84.9883,2.24787,3.20046,1.70366,1.32089,0,0.41955,0.41775,0.37386,0.15363,0.34189,0.3523,0.31854,0.10872,2.13911,3.22754,1.95382,1.46421,0,0.00116956,0.00116956,0.00116956
15,90.9388,2.16202,3.13336,1.67249,1.3114,0,0.44896,0.41013,0.33262,0.12848,0.39909,0.3218,0.29101,0.0986,2.17271,3.3621,1.92491,1.52737,0,0.00116337,0.00116337,0.00116337
16,96.6928,2.22592,3.17685,1.64587,1.30064,0,0.41129,0.43382,0.38678,0.16419,0.34507,0.36591,0.32965,0.12888,2.11183,3.21697,1.92973,1.46998,0,0.00115719,0.00115719,0.00115719
17,102.418,2.17859,3.15061,1.68665,1.31742,0,0.45615,0.41997,0.37533,0.13988,0.41321,0.40792,0.34473,0.11531,2.13877,3.28965,1.95129,1.49921,0,0.001151,0.001151,0.001151
18,108.187,2.19136,3.09978,1.59888,1.29623,0,0.44207,0.47116,0.40725,0.15818,0.41434,0.43153,0.36507,0.12906,2.09028,3.14565,1.79071,1.44569,0,0.00114481,0.00114481,0.00114481
19,113.911,2.12903,3.08662,1.60501,1.30488,0,0.39533,0.42393,0.37969,0.14898,0.37537,0.38623,0.33659,0.11926,2.11143,3.18417,1.84804,1.44533,0,0.00113863,0.00113863,0.00113863
20,119.591,2.15912,3.12058,1.61305,1.31567,0,0.39965,0.43275,0.37924,0.14665,0.36196,0.37971,0.33659,0.10844,2.14747,3.20166,1.82908,1.4921,0,0.00113244,0.00113244,0.00113244
21,125.295,2.18511,3.14251,1.6441,1.3265,0,0.42341,0.47467,0.41648,0.16759,0.45919,0.36297,0.37064,0.13406,2.09861,3.14761,1.73951,1.46099,0,0.00112625,0.00112625,0.00112625
22,131.05,2.14708,3.09022,1.60919,1.30923,0,0.41089,0.44419,0.42634,0.1761,0.39707,0.41032,0.3895,0.1459,2.14238,3.13099,1.69283,1.48163,0,0.00112006,0.00112006,0.00112006
23,136.837,2.11861,3.09087,1.54264,1.288,0,0.36067,0.39216,0.31311,0.12945,0.31781,0.37345,0.265,0.10049,2.16358,3.12029,1.99197,1.4563,0,0.00111388,0.00111388,0.00111388
24,142.546,2.09945,3.04052,1.51763,1.2575,0,0.43388,0.4236,0.38848,0.15291,0.40661,0.40365,0.36093,0.12008,2.10173,3.06239,1.76272,1.42038,0,0.00110769,0.00110769,0.00110769
25,148.235,2.13097,3.0875,1.55725,1.28313,0,0.4375,0.47653,0.43425,0.18448,0.36333,0.43688,0.39781,0.15215,2.04175,3.0391,1.70073,1.40646,0,0.0011015,0.0011015,0.0011015
26,153.943,2.08172,3.04844,1.52473,1.28183,0,0.47538,0.45614,0.46299,0.18942,0.44913,0.44997,0.44653,0.15359,2.11423,3.05249,1.65505,1.43152,0,0.00109531,0.00109531,0.00109531
27,159.699,2.14414,3.07779,1.52003,1.28929,0,0.40916,0.46698,0.42773,0.17511,0.37951,0.41089,0.36911,0.13547,2.11102,3.03663,1.6739,1.4539,0,0.00108913,0.00108913,0.00108913
28,165.265,2.05965,3.0379,1.46297,1.27602,0,0.44459,0.43694,0.43007,0.16889,0.42304,0.47082,0.38687,0.13387,2.13017,3.19306,1.65462,1.48275,0,0.00108294,0.00108294,0.00108294
29,171.066,2.08807,3.06027,1.43354,1.26592,0,0.45739,0.40524,0.48406,0.20939,0.40779,0.45937,0.45139,0.15374,2.07987,3.14622,1.6382,1.44324,0,0.00107675,0.00107675,0.00107675
30,176.789,2.13922,3.07624,1.50075,1.27278,0,0.40394,0.45297,0.37557,0.1545,0.34753,0.36835,0.31273,0.12693,2.0765,3.03221,1.80988,1.42791,0,0.00107056,0.00107056,0.00107056
31,182.45,2.07731,3.0111,1.48316,1.27029,0,0.44013,0.41673,0.42322,0.17967,0.42326,0.39615,0.38892,0.14725,2.11713,3.0972,1.63304,1.44776,0,0.00106437,0.00106437,0.00106437
32,188.191,2.12508,3.06267,1.48902,1.26092,0,0.47614,0.50086,0.46097,0.18696,0.4686,0.46684,0.44529,0.14888,2.14572,3.18486,1.55852,1.46181,0,0.00105819,0.00105819,0.00105819
33,193.866,2.06535,3.06264,1.45398,1.25576,0,0.49981,0.44548,0.44072,0.1831,0.52725,0.39589,0.41311,0.14845,2.10526,3.00588,1.60349,1.43941,0,0.001052,0.001052,0.001052
